Knowledge graph — Haraway Cyborg Manifesto (haraway_graph_v3) (579 relationships):
essay | argues_for | feminism
cyborg_unities | are | monstrous_and_illegitimate
lag | is_a_kind_of | cyborg_society
feminism | requires | multiple_adjectives
gender | contrasts_with | essential_unity
female | does_not_naturally_bind | women
feminism | grounds | coalitions_with_women
patriarchy | undermines | social_unity
us_left | responds_to | crisis_in_political_identity
chela_sandoval | theorizes | oppositional_consciousness
women_of_color | constructs | postmodernist_identity
sandoval's_oppositional_consciousness | is_about | contradictory_locations
sandoval's_oppositional_consciousness | is_not_about | relativisms_and_pluralisms
women_of_color | constructs | historical_consciousness
oppositional_consciousness | grounds | skills_for_reading_webs_of_power
sandoval | emphasizes | lack
definition | grounds | conscious_appropriation_of_negation
chicana/us_black_woman | transgresses | privileged_authorial_categories
category_'woman' | negates | non-white_women
identity_as_us_women_of_colour | constitutes | self-consciously_constructed_space
oppositional_consciousness | enables | coalition
sandoval | argues_for | feminists
anti-colonialist_discourse | grounds | feminism
orientalism | undermines | identities_of_occident
women_of_colour | have_chance_to_build_unity | effective_unity
marxisms_and_feminisms | replicate | imperializing,_totalizing_revolutionary_subjects
decolonization | emerges_as_disorderly_polyphony | previous_marxisms_and_feminisms
katie_king | criticizes | taxonomization
feminist_practice | tends_to | remake_history
taxonomies_of_feminism | produce_epistemologies | to_police_deviation
katie_king | crafts_poetic/political_unity | without_logic_of_appropriation
katie_king_and_sandoval | achieves_common_goal | unity_without_taxonomic_identification
taxonomization | undermines | feminist_diversity
unity-through-domination | undermines | justifications_for_patriarchy
unity-through-domination | undermines | colonialism
unity-through-domination | undermines | humanism
radical_and_socialist/marxist-feminisms | undermines | epistemological_strategies
unity-through-domination | contrasts_with | organic_or_natural_standpoint
western_political_people's_epistemologies | may_fail | building_effective_affinities
postmodernist_theory | contrasts_with | western_selves
ontological_discourse | enables | revolutionary_subjects
socialist-feminism | requires | partial_constructions
politics | extends | collective_selves
guilt | undermines | innocence
socialist-feminism | grounds | faithfulness
history | contrasts_with | unity
us | transgresses | them
woman | denatures | categories
innocence | undermines | insight
revolutionary_subject | gives_pause_to | people
identities | frays | strategies
marxist/socialist-feminisms | denatures | category_'woman'
radical_feminisms | denatures | category_'woman'
labour | enables | overcoming_illusion
labour | makes | man
labour | permits | knowledge_of_subjugation_and_alienation
marxian_socialism | is_rooted_in | analysis_of_wage_labour
socialist-feminism | argues_for | marxist_strategies
marxist_feminists | extends | labour_category
women's_labour | enters | theory
socialist-feminism | does_not_naturalize | unity
marxian_humanism | is_a_difficulty_for | me
women's_activity | has_an_ontological_structure_similar_to | labour
mackinnon's_version | contrasts_with | western_theories
mackinnon's_theory | erases | difference
mackinnon's_theory | produces | theory_of_experience
mackinnon's_version | rewrites | history_of_radical_feminism
mackinnon's_theory | eliminates | humanist_revolutionary_subjects
mackinnon's_theory | achieves | unity_of_women
mackinnon | argues_for | different_analytical_strategy
feminism | contrasts_with | marxism
mackinnon's_ontology | constructs | non-subject
another's_desire | is_origin_of | woman
feminist_practice | construction_of | self-knowledge
mackinnon | develops | theory_of_consciousness
feminism | grounds | labour
sexual_appropriation | constitutes | woman's_existence
sexual_objectification | results_in | illusion_and_abstraction
alienation | contrasts_with | being_constituted_by_another's_desire
labourer | separated_from | product
woman | does_not_exist_as | subject
mackinnon | argues_for | women's_unity
mackinnon | develops | authoritarian_doctrine
socialist/marxian_standpoints | erases | radical_difference
mackinnon's_theory | obliterates | women's_political_speech_and_action
western_patriarchy | fails_to_do | feminists'_consciousness_of_non-existence
mackinnon's_doctrine | erases | all_difference
radical_feminism | accommodates | activities_of_women
taxonomy | re-inscribes | history
socialist_feminists | names | forms_of_labour
radical_feminism | requires | sexualization
reproduction | has_different_tones | meanings_for_two_tendencies
domination | leads_to | false_consciousness
marxist | contrasts_with | radical_feminist
western_explanation | requires | totality
author | incorporates | others
white_radical_and_socialist_feminists | embarrassed_silence_about | race
history | disappears_into | political_taxonomies
theory | leaves_out | race
julia_kristeva | claims | women_appeared_as_a_historical_group
race | did_not_always_exist | as_objects_of_knowledge_and_as_historical_actors
class | has_a_historical_genesis | historical_actors
homosexuals | are_quite_junior | historical_actors
informatics_of_domination | transitions_to | organics_of_domination
representation | transitions_to | simulation
bourgeois_novel,_realism | transitions_to | science_fiction,_postmodernism
organism | transitions_to | biotic_component
depth,_integrity | transitions_to | surface,_boundary
eugenics | transitions_to | population_control
socialist_principles | grounds | unity
feminist_principles | grounds | unity
rearrangements_in_social_relations | requires | politics
industrial_capitalism | analogous_to | world_order
organic_society | transgresses | information_system
hierarchical_dominations | contrasts_with | networks
ideologies | defines | frequencies
concepts | contrasts_with | primitive_and_civilized
liberals_and_radicals | coalitions_with | experimental_ethnography
racism_and_colonialism | translates_to | languages_of_development_and_under-development
objects_or_persons | can_be_thought_of_as | disassembly_and_reassembly
late_capitalism | proclaims | elementary_fact
control_strategies | concentrate_on | boundary_conditions
western_self | gives_way_to | decision_procedures
human_beings | must_be_localized_in | system_architecture
objects,_spaces,_bodies | are_not_sacred | in_themselves
cyborg | simulates_politics | a_field_of_operations
capitalist_markets | effects_universal_translation | of_exchange
feminist_analysis | contrasts_with | organic,_hierarchical_dualisms
dichotomies | are_in_question_ideologically_by | ideology
women | are_integrated/exploited_into | world_system_of_production/reproduction_and_communication
socialist-feminist_politics | can_be_reconstructed_through | theory_and_practice_addressed_to_social_relations_of_science
ideology | undermines | feminist_analysis
communications_technologies | constitutes | new_social_relations
biotechnologies | enforces | social_relations_for_women
technologies | mutually_constitute | myth
scientific_discourses | formalize | fluid_social_interactions
tool | constitute | concept
myth | mutually_constitute | tool
communications_sciences | extends | modern_biologies
world | translates_into | problem_of_coding
resistance_to_instrumental_control | disappears_in | common_language
heterogeneity | submits_to | disassembly,_reassembly,_investment,_and_exchange
coding | requires | common_language
instrumental_control | contrasts_with | disassembly,_reassembly,_investment,_and_exchange
communications_sciences | illustrates | cybernetic_systems_theories
language_and_control | rests_on | solution_to_key_questions
information | allows | universal_translation
communication | is_threatened_by | interruption_of_communication
system_breakdown | is_a_function_of | stress
c3i_technology | condenses_to | command-control_communication-intelligence
molecular_genetics | illustrates | coding
biotechnology | informs | research
organisms | replaced_by | biotic_components
ecosystem | examined_in | ecology
immunobiology | exemplifies | coding_and_recognition_systems
biology | is_like | cryptography
communications_sciences | extends | electronics
modern_states | depends_on | electronics
multinational_corporations | depends_on | electronics
micro-electronics | grounds | simulacra
communications_technologies | indicates | transformations
electronics | enables | labour-control_systems
microelectronics | mediates | translations
biology | has | revolutionary_implications
communications_sciences | blurs | difference_between_machine_and_organism
mind | is_on_intimate_terms_with | tool
base | seems_less_feasible_to_maintain_boundary_with | superstructure
material_organization | implicates | production_and_reproduction_of_daily_life
rachel_grossman | uses | image
social_relations_of_science_and_technology | constitutes | historical_system
science_and_technology | provides | fresh_sources_of_power
latour | suggests | need_for_fresh_analysis_and_political_action
socialist-feminism | becomes_more_relevant_to | effective_progressive_politics
high-tech-facilitated_social_relations | rearranges | race,_sex,_and_class
new_industrial_revolution | produces | new_working_class
extreme_mobility_of_capital | intertwines_with | emergence_of_new_collectivities
familiar_groupings | weakens | new_industrial_revolution
white_men | becomes_vulnerable_to | permanent_job_loss
women | does_not_disappear_from | job_rolls
silicon_valley | structures_women's_lives_around | electronics-dependent_jobs
richard_gordon | calls | homework_economy
homework_economy | includes | literal_homework
work | is_redefined_as | female_and_feminized
feminization | means | vulnerability
homework_economy | refers_to | deskilling_and_integration_of_factory,_home,_and_market
women's_places | are_crucial_for | analysing_differences_among_women
homework_economy | enabled_by | new_technologies
attack_on_unionized_jobs | contrasts_with | power_of_new_communications_technologies
women's_jobs | becoming_capital-intensive_due_to | new_technologies
family_(male)_wage | lost_by | women
office_work_and_nursing | character_of_women's_jobs | capital-intensive
unionized_jobs | targeted_by | attack
welfare_state | collapses | economic_arrangements
women | sustain | daily_life
feminization_of_poverty | generated_by | dismantling_welfare_state
coalitions_of_women | grounds_for | many_issues
women | enforced_status_as_mothers | daily_life
us_black_women | face_continued_enforced_poverty_with_employment | black_poverty
capitalism | extends | families
families | relate_to | capital
capital | requires | ideology
patriarchal_nuclear_family | contrasts_with | modern_family
welfare_state | enables | feminist_ideologies
homework_economy | undermines | gender
homework_economy | extends | structural_unemployment
robotics | undermines | male_jobs
feminization_of_work | constitutes | vulnerable_position_for_black_women
sexuality | grounds | economic_structure
white_and_black_women | contrasts_with | similar_situations
cross-gender_and_race_alliances | requires | basic_life_support
green_revolution | extends | high-tech_industrial_production
women | are_excluded_from | benefiting_from_commodification_of_food_and_energy_crops
women's_responsibilities | do_not_diminish | food_provision
green_revolution_technologies | alter | gender_divisions_of_labour
green_revolution_technologies | alter | differential_gender_migration_patterns
women | produce | 50%_of_world's_subsistence_food
new_technologies | involved_in | forms_of_privatization
ros_petchesky | analysed | forms_of_privatization
militarization | contrasts_with | public_life
video_games | produces | private_life
high-tech_military_establishment | enabled_by | new_communications_technologies
tourism | enabled_by | new_communications_technologies
sociobiological_origin_stories | contrasts_with | high-tech_view
women's_bodies | are_permeable_to | visualization_and_intervention
speculum | is_an_icon_of | women's_claiming_their_bodies
self-help | is_not_enough_for | body_politics_in_cyborg_reproduction
high-tech_myth_systems | structure_our_imaginations_of | personal_and_social_possibility
social_relations | extends | new_technologies
expectations | reformulates | culture
women | confined_to | homework_economy
high-tech_apparatuses | controls | people_of_colour
socialist-feminist_politics | addresses | women_in_science
science_and_technology | constructs | scientific-technical_discourses
feminist_science | extends | progressive_politics
new_groups_doing_science | constitutes | alliance_with_progressive_movements
women_in_silicon_valley | coalitions_with | progressive_social_and_political_movements
military_science_facility_conversion_action_groups | enables | feminist_science/technology_politics
scientific_and_technical_workers | opposes | military_science
personal_preferences_and_cultural_tendencies | grounds | progressive_politics
women | contrasts_with | public
women | contrasts_with | private
ideology | undermines | dichotomies
networking | constitutes | feminist_practice
networking | constitutes | corporate_strategy
weaving | is_for | oppositional_cyborgs
informatics | grounds | domination
women's_place | contrasts_with | idealized_social_locations
social_relations | mediated_by | new_technologies
women's_cyborg_identities | constitutes | geometries_of_difference_and_contradiction
power_and_social_life | enables | new_couplings,_new_coalitions
identification | opposes | dispersion
women-headed_households | contrasts_with | serial_monogamy
home_sweat-shops | replaces | paid_homework
electronic_cottage | enables | telecommuting
urban_homelessness | extends | migration
reinforced_(simulated)_nuclear_family | grounds | domestic_violence
home-based_businesses | constitutes | telecommuting
market | extends | new_production
women's_consumption_work | requires | new_technologies
industrialized_nations | compete_with | industrializing_nations
affluent_groups | targeted_by | advertising
informal_markets | parallel_to | high-tech_market_structures
marketing/financing_systems | inter-penetrates_with | sexual_markets
paid_work | continues | sexual_division
paid_work | continues | racial_division
women | gains | privilege
new_technologies | affects | women's_work
homework_economy | requires | flex_time
labour_market | has | two-tiered_wage
welfare_state | erodes | state
decentralization | increases | surveillance_and_control
citizenship_by_telematics | constitutes | imperialism
high-tech_militarization | opposed_by | social_groups
civil_service_jobs | reduced_by | capital_intensification_of_office_work
privatization | integrates_with | militarization
school | argues_for | ignorance
school | contrasts_with | democratic_structures
managerial_classes | involved_in | reform
science-based_multinationals | directs | education
white_women | experiences | illiteracy
people_of_colour | experiences | illiteracy
clinic-hospital | renegotiates | public_metaphors
reproduction | contrasts_with | immune_system_functions
women's_control | requires | state_responsibility_for_health
health_work | constitutes | feminization_of_health_work
popular_health_movements | enables | american_politics
high_technology_products | undermines | meanings_and_means_of_health
church | contrasts_with | militarized_state
church | extends | spirituality
electronic_fundamentalist_'super-saver'_preachers | coalitions_with | automated_fetish_gods
churches | requires | resisting_the_militarized_state
women's_meanings_and_authority_in_religion | constitutes | central_struggle
spirituality | grounds | political_struggle
informatics_of_domination | characterizes | insecurity
informatics_of_domination | characterizes | cultural_impoverishment
socialist-feminist_politics | addresses | science_and_technology
efforts_to_develop_collective_struggle | provides_understanding_of | labour_organization
technical_restructuring_of_labour_processes | contrasts_with | collective_struggle_for_women_in_paid_work
informatics_of_domination | grounds | political_work
marxisms | defines | domination
false_consciousness | contrasts_with | clear-sighted_critique
high-tech_culture | mediates | disrupted_unities
late_capitalism | undermines | oppression
emerging_pleasures | enable | changing_the_rules_of_the_game
subtle_understanding | requires | ambivalence
hope | grounds_for | unity
socialist-feminist_analysis | constitutes | units
science_and_technology | relates_to | hardship
people's_experience | lacks | subtle_connections
marxist_efforts | clarifies | experience
psychoanalytic_efforts | clarifies | experience
sputnik | enables | irish_catholic_girl
post-second_world_war_arms_race | constitutes | body_and_mind
women's_movements | constitutes | body_and_mind
politics_designed_to_produce_loyal_american_technocrats | produces | dissidents
contradictory_effects_of_politics | grounds_for_hope | focusing_on_the_past
present_defeats | undermines | hope
feminist_points | has_consequences_for | our_expectations
totality | is_required_by | feminist_dream_of_language
dialectics | longs_to_resolve | contradiction
man | embodies | western_logos
pleasure | is_found_in | fusions_with_animals_and_machines
feminist_science | might_be_a_possibility_from_the_point_of_view_of | pleasure
mary_douglas | grounds | concepts_of_bodily_boundaries_and_social_order
luce_irigaray | coalitions_with | monique_wittig
susan_griffnn | opposes | the_technological
adrienne_rich | insists_on | the_organic
octavia_butler | enables | exploring_conceptions_of_bodily_boundaries_and_social_order
monique_wittig | transgresses | traditional_notions_of_embodiment
women_of_colour | constitutes | cyborg_identity
audre_lorde's_biomythography | grounds | complex_political-historical_layerings
sister_outsider | represents | offshore_woman
us_workers | opposes | sister_outsider
women_of_colour | are_preferred_labour_force_for | science-based_industries
literacy_in_english | distinguishes | cheap_female_labour
orientalist_stereotypes | contrasts_with | literacy
literacy | constitutes | special_mark_of_women_of_colour
writing | grounds | western_myth_of_distinction_between_oral_and_written_culture
phallogocentrism_of_the_west | undermines | distinction_between_oral_and_written_cultures
cyborg_writing | requires | power_to_signify_without_phallic_or_innocent_power
cyborg_writing | extends | survival_on_basis_of_seizing_tools_to_mark_the_world
cyborg_authors | subverts | origin_myths
feminist_cyborgs | opposes | phallogocentric_origin_stories
cyborg_authors | retells | origin_stories
feminist_cyborg_stories | subverts | command_and_control
cyborg_authors | uses | biotechnology
cyborg_authors | uses | microelectronics
moraga | argues_for | survival
malinche | contrasts_with | cortes
moraga | extends | chicana_constructions_of_identity
moraga's_language | constitutes | erode,_competent,_potent_identities
malinche | grounds | mestizo_'bastard'_race
moraga | ironizes | original_wholeness
cyborg_politics | insists_on | noise
cyborg_politics | advocates | pollution
phallogocentrism | translates_all_meaning_perfectly | one_code
cyborg_politics | subverts | structure_of_desire
choice | grounds | liberal_politics_and_epistemology
western_identity | reproduces_through | mirror_and_eye
feminisms | transgresses | western_epistemological_imperatives
marxisms | transgresses | western_epistemological_imperatives
cyborgs | grounds | powerful_possibilities
feminisms | runs_aground_on | hierarchy_of_oppressions
women_of_colour | transforms | malinche
cyborgs | enables | recognition_of_oneself
literary_deconstruction | extends | liminal_transformation
story | imagines | drama_of_life
women | have_less_selfhood | than_men
cyborgs | refuse_victimization | ideological_resources
western_commentators | remark_on_the_passing_of_primitive_groups | by_western_technology
village_women_workers | actively_rewrite_texts | of_their_bodies_and_societies
western_traditions | grounds | domination
self/other_dualism | contrasts_with | mind/body_dualism
self | requires | service_of_the_other
one | constitutes | autonomy
other | is | multiple
one | transgresses | illusion
high-tech_culture | challenges | dualisms
human | relates_to | machine
mind | contrasts_with | body
cyborgs | constitutes | hybrids
biological_organisms | extends_to | biotic_systems
machine | grounds | organism
cyborg | extends | machine
organism | contrasts_with | machine
body | constitutes | resource
mind | requires | body
cyborg | grounds | feminism
machine | enables | prosthetic
cyborgs | contrasts_with | statuses
katie_king | clarifies | pleasure
students | do_not_know | the_adventures_of_alyx
the_female_man | does_not_resolve | dilemmas
samuel_r._delany | mocks | stories_of_origin
james_tiptree,_jr | tells_tales_of_reproduction | non-mammalian_technologies
vonda_mcintyre | argues_for | feminist_writing
superluminal | embodies | cyborg_world
orca | contrasts_with | human
lacnea | requires | bionic_implants
radu_dracul | extends | spatial_perception
superluminal | grounds | feminist_theory
monsters | defines | limits
centaurs | establishes | limits
amazons | contrasts_with | greek_male_human
unseparated_twins | grounds | discourse
cyborg_monsters | defines | political_possibilities
monkeys_and_apes | marks | boundaries
cyborg | constitutes | embodiment
machine | is | us
female_embodiment | seemed_to_be | given
cyborg | contrasts_with | enemy
gender | might_not_be | global_identity
sex | is_a | partial_aspect
feminists | argues_for | women's_privileged_epistemological_position
cyborg_image | exploits | daily_activity_and_experience
men | have_access_to | daily_competence
cyborg_theory | requires | consideration_of_race,_gender,_and_capital
myth_system | becomes_political_language | grounding_a_way_of_looking_at_science_and_technology
cyborgs | requires | regeneration
organisms | depend | metaphors_of_rebirth
cyborgs | contrasts_with | reproductive_matrix
regrown_limb | can_be | monstrous
we | require | regeneration
utopian_dream | includes | hope_for_a_monstrous_world
cyborg_imagery | helps_express | arguments
universal_theory | is_a_mistake | reality
science_and_technology | are_means_of_satisfaction | human
cyborg_imagery | suggests_a_way_out | dualisms
feminist_speaking | strikes_fear_into | circuits
cyborg | is_better_than | goddess
haraway | argues_for | cyborg_politics
cyborg | constitutes | hybrid_of_machine_and_organism
socialist-feminism | requires | irony_as_a_rhetorical_strategy
women's_experience | constructed_by | international_women’s_movements
cyborg | transgresses | boundaries_between_science_fiction_and_social_reality
biopolitics | contrasts_with | cyborg_politics
haraway | grounds | socialist-feminist_culture
cyborg | enables | historical_transformation
haraway | coalitions_with | sandoval
essential_unity | transgresses | oppositional_consciousness
identity | constitutes | contradictory,_partial,_and_strategic
gender,_race,_class | grounds | beliefs_in_essential_unity
oppositional_consciousness | enables | coalition,_affinity,_political_kinship
sandoval's_argument | extends | anti-colonialist_discourse
naturalization_of_the_matrix | rejects | oppositional_consciousness
essential_unity | undermines | painful_fragmentation_among_feminists
haraway | argues_for | politics_rooted_in_changes
informatics_of_domination | extends | class_race_gender_transitions
organic_industrial_society | contrasts_with | polymorphous_information_system
representation | replaces | simulation
biological_determinism | undermines | evolutionary_inertia_constraints
naturalistic_coding | subverts | informatics_of_domination
essential_properties | transgresses | design_boundary_constraints_rates
ideologies_of_sexual_reproduction | ironizes | notions_of_sex_and_sex_role
homework_economy | constitutes | new_world-wide_working_class
women's_jobs | extends | deskilling_strategy
feminization_of_poverty | grounds | collapsing_welfare_state
homework_economy | requires | new_technologies
women's_jobs | transgresses | traditional_notions_of_work_and_family
informatics_of_domination | enables | homework_economy
feminization_of_poverty | ironizes | expectation_of_male_income_support
coalitions_of_women-headed_households | coalitions_with | race,_class,_and_sexuality
informatics | extends | dichotomies
network_ideology | grounds | feminist_practice
networking | contrasts_with | multinational_corporate_strategy
informatics_of_domination | transgresses | traditional_dichotomies
women's_place | constitutes | geometries_of_difference_and_contradiction
social_relations | mediates | power_and_social_life
identification | undermines | unitary_self
diaspora | requires | survival
haraway | coalitions_with | feminist_writers
mary_douglas | grounds | body_imagery_and_world_view
luce_irigaray | knows_how_to_write_the_body | eroticism,_cosmology,_and_politics
susan_griffin | opposes | technology
haraway | ironizes | american_radical_feminism's_organicism
sandoval | defines | oppositional_ideologies_fitting_the_late_twentieth_century
haraway | transforms | traditional_notions_of_identity_and_boundaries
cyborg | embodies | boundary_breakdown
human/animal | broken_down_by | cyborg
organism/machine | blurred_by | cyborg
physical/non-physical | transcended_by | cyborg
feminist_politics | aligned_with | cyborg
coalition/affinity | enabled_by | cyborg
irony | functions_as | political_stance
informatics_of_domination | transforms | labour/power/identity
identity_politics | distinguished_from | coalition/affinity_politics
socialist_feminism | relates_to | cyborg_politics
homework_economy | affects | women/new_technologies
cyborg | represents | chimeras/hybrids_of_machine/organism
biopolitics | prefigures | cyborg_politics
michel_foucault | influenced_by | haraway's_cyborg_theory
western_science/politics | challenged_by | cyborg_manifesto
boundary_breakdown | has_consequences_for | production/reproduction/imagination
pleasure | associated_with | confusion_of_boundaries
responsibility | required_in | boundary_construction
