Knowledge graph — Haraway Cyborg Manifesto (haraway_graph_v2) (508 relationships):
essay | argues_for | feminism
woman | is_elusive | matrix_of_women's_dominations
us_left_and_us_feminism | responds_to | crisis_in_political_identity
chela_sandoval | theorizes | oppositional_consciousness
women_of_color | constructs | postmodernist_identity
sandoval's_oppositional_consciousness | is_about | contradictory_locations
sandoval's_oppositional_consciousness | is_not_about | relativisms_and_pluralisms
women_of_color | marks | systematic_breakdown_of_all_the_signs_of_man_in_'western'_tr
oppositional_consciousness | born_of | skills_for_reading_webs_of_power
sandoval | emphasizes | lack
definition | grounds | conscious_appropriation_of_negation
category_'woman' | negates | non-white_women
category_'black' | negates | non-black_people_and_black_women
sandoval | argues | oppositional_consciousness
matrix | naturalizes | white_women's_movement
sandoval | argues_for | feminist_formulation
anti-colonialist_discourse | dissolves | the_'west'
orientalism | deconstructed | politically_and_semiotically
women_of_colour | have_chance_to_build_unity | effective_unity
previous_marxisms_and_feminisms | replicate_imperializing_subjects | none
decolonization | emerges_disorderly_polyphony | none
katie_king | criticizes | taxonomization
feminist_practice | tends_to | remake_history
taxonomies_of_feminism | produce_epistemologies | to_police_deviation
women's_culture | is_consciously_created_by | mechanisms_inducing_affinity
katie_king | crafts_poetic/political_unity_with | sandoval
logic_of_appropriation | is_rejected_by | king_and_sandoval
unity-through-domination | undermines | justifications_for_patriarchy
unity-through-domination | undermines | colonialism
unity-through-domination | undermines | humanism
radical_and_socialist/marxist-feminisms | undermines | epistemological_strategies
unity-through-domination | contrasts_with | organic_or_natural_standpoint
unity-through-domination | ironizes | isms
postmodernist_theory | contrasts_with | western_selves
ontological_discourse | enables | revolutionary_subjects
socialist-feminism | requires | partial_constructions
politics | extends | collective_selves
guilt | undermines | innocence
socialist-feminism | grounds | faithfulness
history | contrasts_with | unity
us | transgresses | them
woman | denatures | categories
innocence | undermines | insight
revolutionary_subject | gives_pause_to | people
identities | frays | strategies
marxist/socialist-feminisms | denatures | category_'woman'
radical_feminisms | denatures | category_'woman'
marxian_socialism | grounds | analysis_of_wage_labour
labour | enables | overcoming_illusion
labour | makes | man
labour | permits | knowledge_of_a_subject
socialist-feminism | argues_for | marxism
marxist_feminists | extends | labour_category
women's_labour | constitutes | labour_under_capitalist_patriarchy
socialist-feminism | grounds | ontological_structure_of_'labour'
marxian_humanism | transgresses | essentializing_move
women's_activity | analogous_to | marxian_concept_of_labour
mackinnon's_version | contrasts_with | western_theories
mackinnon's_theory | erases | difference
mackinnon's_theory | produces | theory_of_experience
mackinnon's_version | rewrites | history_of_radical_feminism
mackinnon's_theory | eliminates | humanist_revolutionary_subjects
mackinnon's_theory | achieves | unity_of_women
mackinnon | argues_for | different_analytical_strategy
feminism | contrasts_with | marxism
mackinnon | constructs | non-subject
mackinnon | develops | theory_of_consciousness
feminist_practice | constitutes | self-knowledge
mackinnon | ironizes | traditional_self
feminism | grounds | labour
sexual_appropriation | constitutes | woman's_existence
alienation | contrasts_with | sexual_objectification
illusion_and_abstraction | result_of | sexual_objectification
labourer | separated_from | product
woman | exists_through | another's_desire
mackinnon | argues_for | women's_unity
mackinnon | develops | authoritarian_doctrine
socialist/marxian_standpoints | erases | radical_difference
mackinnon's_theory | obliterates | women's_political_speech_and_action
western_patriarchy | fails_to_do | feminists'_consciousness_of_non-existence
mackinnon's_doctrine | erases | all_difference
radical_feminism | accommodates | activities_of_women
socialist_feminists | names | forms_of_labour
reproduction | has_different_tones_of_meanings_for | radical_feminism_and_socialist_feminism
labour | is_rooted_in | one_tendency
sex | is_rooted_in | other_tendency
false_consciousness | is_called_by | both_tendencies
marxist | constitutes | totalities
radical_feminist | constitutes | totalities
western_explanation | demands | totalities
marxist | tries_to_annex | other_forms_of_domination
radical_feminist | tries_to_annex | other_forms_of_domination
theory | has_no_room_for | race
julia_kristeva | claims | women_appeared_as_a_historical_group
race | did_not_always_exist | as_objects_of_knowledge_and_as_historical_actors
class | has_a_historical_genesis | historical_actors
homosexuals | are_quite_junior | historical_actors
informatics_of_domination | transitions_to | organics_of_domination
representation | transitions_to | simulation
bourgeois_novel,_realism | transitions_to | science_fiction,_postmodernism
organism | transitions_to | biotic_component
depth,_integrity | transitions_to | surface,_boundary
eugenics | transitions_to | population_control
unity | argues_for | socialist_principles
unity | argues_for | feminist_principles
industrial_capitalism | analogous_to | world_order
organic_society | transgresses | polymorphous_information_system
hierarchical_dominations | contrasts_with | informatics_of_domination
industrial_society | extends_to | all_play
ideologies | grounds | frequencies
concepts | contrasts_with | primitive_and_civilized
liberals_and_radicals | coalitions_with | experimental_ethnography
racism_and_colonialism | translates_to | languages_of_development_and_under-development
objects_or_persons | can_be_thought_of_as | disassembly_and_reassembly
late_capitalism | proclaims | elementary_fact
control_strategies | concentrate_on | boundary_conditions
western_self | gives_way_to | decision_procedures
human_beings | must_be_localized_in | system_architecture
objects,_spaces,_bodies | are_not_sacred | in_themselves
cyborg | simulates_politics | a_field_of_operations
capitalist_markets | effects_universal_translation | of_exchange
feminist_analysis | contrasts_with | organic,_hierarchical_dualisms
cyborg | constitutes | disassembled_and_reassembled_self
informatics_of_domination | requires | integration/exploitation_of_women
socialist-feminist_politics | extends | theory_and_practice_addressed_to_science_and_technology
organic,_hierarchical_dualisms | undermines | feminist_analysis
cyborg | grounds | postmodern_collective_and_personal_self
communications_technologies | constitutes | new_social_relations
biotechnologies | enforces | social_relations_for_women
technologies | embodies | social_interactions
scientific_discourses | formalizes | social_interactions
tool_and_myth | mutually_constitute | each_other
historical_systems_of_social_relations | constitutes | historical_anatomies
communications_sciences | extends | modern_biologies
translation_of_the_world | grounds | problem_of_coding
resistance_to_instrumental_control | disappears | instrumental_control
heterogeneity | can_be_submitted_to | disassembly,_reassembly,_investment,_and_exchange
problem_of_coding | requires | common_language
resistance_to_instrumental_control | contrasts_with | heterogeneity
communications_sciences | illustrates | cybernetic_systems_theories
language_and_control | rests_on | solution_to_key_questions
information | allows | universal_translation
communication | is_threatened_by | interruption_of_communication
system_breakdown | is_a_function_of | stress
c3i_technology | condenses_to | command-control_communication-intelligence
molecular_genetics | illustrates | coding
biotechnology | informs | research
organisms | replaced_by | biotic_components
ecosystem_concept | examined_in | ecology
immunobiology | exemplifies | coding_and_recognition_systems
biology | is_like | cryptography
communications_sciences | extends | electronics
biology | extends | electronics
modern_states | depends_on | electronics
multinational_corporations | depends_on | electronics
micro-electronics | grounds | simulacra
microelectronics | mediates | translations
biology | has | revolutionary_implications
communications_sciences | are_constructions_of | natural-technical_objects
mind | is_on_intimate_terms_with | tool
base | seems_more_feasible_to_maintain_boundary_with | superstructure
material | blurs_difference_with | organism
rachel_grossman | uses | image
women_in_integrated_circuit | constitutes | situation_of_women
social_relations_of_science_and_technology | extends | power
science_and_technology | provides | fresh_sources_of_power
socialist-feminism | becomes | more_relevant_to_politics
high-tech-facilitated_social_relations | rearranges | race,_sex,_and_class
new_industrial_revolution | produces | new_working_class
extreme_mobility_of_capital | intertwines_with | emergence_of_new_collectivities
familiar_groupings | weakens | new_industrial_revolution
white_men | becomes_vulnerable_to | permanent_job_loss
women | not_disappearing_from | job_rolls
silicon_valley | structures_women's_lives_around | electronics-dependent_jobs
richard_gordon | calls | homework_economy
homework_economy | includes | literal_homework
work | is_redefined_as | female_and_feminized
feminization | means | vulnerability
homework_economy | does_not_refer_to | large-scale_deskilling
homework_economy | made_possible_by | new_technologies
attack_on_unionized_jobs | successful_against | relatively_privileged_men
new_communications_technologies | enable_to_integrate_and_control_labour | labour
women | affected_by_loss_of_family_wage | male_privilege
office_work | becoming_capital-intensive | none
nursing_jobs | becoming_capital-intensive | none
welfare_state | collapses_into | economic_arrangements
women | sustain_daily_life_for | men,_children,_and_old_people
feminization_of_poverty | is_caused_by | dismantling_welfare_state
coalitions_of_women | are_formed_on_the_ground_of | increasing_generality
women | are_forced_to_sustain_daily_life_as | mothers
capitalism | extends | nationalism
capitalism | contrasts_with | multinationalism
families | relate_to | forms_of_capital
patriarchal_nuclear_family | constitutes | white_bourgeois_ideology
welfare_state | enables | modern_family
homework_economy | undermines | gender
homework_economy | extends | structural_unemployment
new_technologies | undermines | male_jobs
feminization_of_work | intensifies | black_women's_vulnerability
sexuality | is_interwoven_with | economic_structure
white_and_black_women | have_differentiated_situations_due_to | economic_structure
cross-gender_and_race_alliances | are_necessary_for | basic_life_support
green_revolution | extends | high-tech_industrial_production
women | are_excluded_from | benefiting_from_commodification_of_food_and_energy_crops
women's_responsibilities | do_not_diminish | food_provision
green_revolution_technologies | alter | gender_divisions_of_labour
green_revolution_technologies | alter | differential_gender_migration_patterns
women | produce | 50%_of_world's_subsistence_food
new_technologies | involved_in | forms_of_privatization
ros_petchesky | analysed | forms_of_privatization
militarization | contrasts_with | public_life
video_games | produces | private_life
high-tech_military_establishment | enabled_by | new_communications_technologies
tourism | enabled_by | new_communications_technologies
sociobiological_origin_stories | contrasts_with | high-tech_view_of_the_body
women's_bodies | are_permeable_to | visualization_and_intervention
speculum | is_an_icon_of | women's_claiming_their_bodies
self-help | is_not_enough_for | body_politics_in_cyborg_reproduction
high-tech_myth_systems | structure_our_imaginations_of | personal_and_social_possibility
social_relations | extends | new_technologies
expectations | reformulates | culture
women | confined_to | homework_economy
high-tech_apparatuses | controls | people_of_colour
socialist-feminist_politics | addresses | women_in_science
science_and_technology | constructs | scientific-technical_discourses
feminist_science | extends | progressive_politics
new_groups_doing_science | constitutes | alliance_with_progressive_social_and_political_movements
women_in_silicon_valley | coalitions_with | progressive_politics
military_science_facility_conversion_action_groups | coalitions_with | feminist_science/technology_politics
scientific_and_technical_workers | opposes | military_science
personal_preferences_and_cultural_tendencies | can_be_welded_into | progressive_politics
women | contrasts_with | public
women | contrasts_with | private
ideology | undermines | division
networking | constitutes | feminist_practice
networking | constitutes | corporate_strategy
weaving | enables | oppositional_cyborgs
informatics | grounds | domination
women's_place | contrasts_with | idealized_social_locations
social_relations | mediated_by | new_technologies
women's_cyborg_identities | constitutes | geometries_of_difference_and_contradiction
power_and_social_life | read_through | webs_of_power_and_social_life
unitary_self | opposes | dispersion
women-headed_households | contrasts_with | serial_monogamy
home_sweat-shops | extends | paid_homework
electronic_cottage | enables | telecommuting
urban_homelessness | requires | migration
module_architecture | grounds | reinforced_(simulated)_nuclear_family
home_sweat-shops | undermines | urban_homelessness
market | extends | new_production
women's_consumption_work | requires | new_technologies
industrialized_nations | compete_with | industrializing_nations
affluent_groups | targeted_by | advertising
informal_markets | parallel_to | high-tech_market_structures
marketing_systems | inter-penetrates_with | labour_markets
paid_work | extends | homework_economy
paid_work | requires | new_technologies
women's_work | contrasts_with | men's_work
privileged_occupational_categories | constitutes | white_women_and_people_of_colour
homework_economy | undermines | stable_employment
labour_market | transgresses | two-tiered_wage_structures
welfare_state | erodes | state
decentralization | increases | surveillance_and_control
citizenship_by_telematics | constitutes | imperialism
high-tech_militarization | opposed_by | social_groups
privatization_of_material_and_ideological_life | integrates_with | militarization
abstract_enemies | believed_in_by | psychological_mechanisms
school | argues_for | coupling_of_high-tech_capital_needs
managerial_classes | involved_in | educational_reform
education | constitutes | mass_ignorance_and_repression
science-based_multinationals | directs | education_(especially_higher_education)
white_women | experiences | scientific_illiteracy
people_of_colour | experiences | scientific_illiteracy
clinic-hospital | renegotiates | public_metaphors
women | unrealized_control | reproduction
health_work | feminization | continues
popular_health_movements | major_form_of_politics | american
clinic-hospital | struggles_over_meanings | health
state | responsibility_for_health | intensified_struggle
church | contrasts_with | militarized_state
church | extends | spirituality
electronic_fundamentalist_'super-saver'_preachers | coalitions_with | automated_fetish_gods
churches | requires | resisting_militarized_state
women's_meanings_and_authority_in_religion | constitutes | central_struggle
spirituality | grounds | political_struggle
informatics_of_domination | constitutes | insecurity
informatics_of_domination | constitutes | cultural_impoverishment
socialist-feminist_politics | requires | science_and_technology
seiu's_district_925 | enables | collective_struggle_for_women_in_paid_work
technical_restructuring_of_labour_processes | undermines | efforts_to_develop_forms_of_collective_struggle
socialist-feminist_politics | grounds | political_work
marxisms | defines | domination
late_capitalism | undermines | oppression
high-tech_culture | mediates | unities
false_consciousness | contrasts_with | clear-sighted_critique
emerging_pleasures | enables | changing_the_rules_of_the_game
women's_points_of_view | loses | oppression
hope | grounds_for | unity
socialist-feminist_analysis | constitutes | units
science_and_technology | relates_to | hardship
efforts | are_rudimentary | theories
unity | extends_across | race,_gender,_class
experience | lacks_connections_for | collective_theory
sputnik | enabled | us_science_policy
post-second_world_war_arms_race | constructed | my_body_and_mind
women's_movements | constructed | my_body_and_mind
politics | produced | loyal_american_technocrats
politics | produced | dissidents
feminist_points | has_consequences_for | our_expectations
totality | is_required_by | feminist_dream_of_language
dialectics | longs_to_resolve | contradiction
man | embodies_western_logos | western_culture
fusions_with_animals_and_machines | teach_us_not_to_be | man
pleasure_in_fusions | might_lead_to | feminist_science
joanna_russ | argues_for | cyborgs
mary_douglas | defines | body_imagery
luce_irigaray | coalitions_with | monique_wittig
susan_griffnn | opposes | technology
adrienne_rich | insists_on | organic
chela_sandoval | grounds | ecofeminism
audre_lorde | defines | biomythography
women_of_colour | constitutes | cyborg_identity
sister_outsider | represents | offshore_woman
us_workers | opposes | sister_outsider
women_of_colour | are_preferred_labour_force_for | science-based_industries
literacy_in_english | distinguishes | cheap_female_labour
orientalist_stereotypes | contrasts_with | literacy
literacy | constitutes | special_mark_of_women_of_colour
writing | grounds | western_myth_of_distinction_between_oral_and_written_culture
phallogocentrism_of_the_west | undermines | distinction_between_oral_and_written_cultures
cyborg_writing | requires | power_to_signify_without_phallic_or_innocent_power
literacy | acquired_by | us_black_women
cyborg_authors | subverts | origin_myths
feminist_cyborgs | opposes | phallogocentric_origin_stories
cyborg_authors | retells | origin_stories
feminist_cyborg_stories | subverts | command_and_control
cyborg_authors | uses | biotechnology
cyborg_authors | uses | microelectronics
moraga | argues_for | survival
malinche | contrasts_with | cortes
moraga | extends | chicana_constructions_of_identity
moraga's_language | constitutes | erode,_competent,_potent_identities
malinche | grounds | mestizo_'bastard'_race
moraga | ironizes | original_wholeness
cyborg_politics | insists_on | noise
phallogocentrism | translates_all_meaning_perfectly | one_code
cyborg_politics | advocates | pollution
man_and_woman | is_problematic_due_to | illegitimate_fusions_of_animal_and_machine
liberal_politics_and_epistemology | imagines_the_reproduction_of_individuals_before | wider_replications_of_'texts'
cyborg_politics | subverts | structure_of_desire
feminisms | transgresses | western_epistemological_imperatives
marxisms | transgresses | western_epistemological_imperatives
cyborgs | grounds | powerful_possibilities
feminisms | runs_aground_on | hierarchy_of_oppressions
women_of_colour | transforms | malinche
cyborgs | enables | recognition_of_oneself
literary_deconstruction | extends | liminal_transformation
story | imagines | drama_of_life
women | have_less_selfhood | than_men
cyborgs | refuse_victimization | ideological_resources
western_commentators | remark_on_the_passing_of_primitive_groups | by_western_technology
village_women_workers | actively_rewrite_texts | of_their_bodies_and_societies
western_traditions | grounds | domination
self | contrasts_with | other
mind | contrasts_with | body
culture | contrasts_with | nature
male | contrasts_with | female
self | requires | service_of_other
high-tech_culture | challenges | dualisms
human | relates_to | machine
biological_organism | extends_to | biotic_system
machine | grounds | formal_knowledge
cyborg | extends | machine
organism | contrasts_with | machine
body | constitutes | resource
mind | requires | body
cyborg | grounds | feminism
machine | enables | prosthetic
cyborgs | contrasts_with | statuses_of_man_or_woman
katie_king | clarifies | pleasure_in_reading_these_fictions_is_not_largely_based_on_i
the_female_man | constitutes | story_of_four_versions_of_one_genotype
samuel_r._delany | mocks | stories_of_origin_by_redoing_the_neolithic_revolution
john_varley | constructs | supreme_cyborg_in_his_arch-feminist_exploration_of_gaea
vonda_mcintyre | argues_for | feminist_writing
superluminal | embodies | cyborg_world
superluminal | contrasts_with | human
orca | transgresses | kinship_with_divers_and_cetaceans
lacnea | requires | bionic_implants
radu_dracul | extends | spatial_perception
monsters | defines | limits
centaurs | establishes | limits
amazons | contrasts_with | greek_male_human
unseparated_twins | grounds | discourse
cyborg_monsters | defines | political_possibilities
monkeys_and_apes | marks | boundaries
cyborg | constitutes | embodiment
machine | is | us
female_embodiment | seemed_to_be | given
cyborg | contrasts_with | enemy
gender | might_not_be | global_identity
sex | is_a | partial_aspect
feminists | argues_for | women's_privileged_epistemological_position
cyborg_image | exploits | daily_activity_and_experience
women | sustain | daily_life
men | have_access_to | daily_competence
cyborg_theory | requires | consideration_of_race,_gender,_and_capital
informatics_of_domination | challenged_by | cyborg_perspective
cyborgs | requires | regeneration
organisms | depend | metaphors_of_rebirth
cyborgs | contrasts_with | reproductive_matrix
regrown_limb | can_be | monstrous
we | require | regeneration
utopian_dream | includes | hope_for_a_monstrous_world
cyborg_imagery | helps_express | arguments
universal_theory | is_a_mistake | reality
anti-science_metaphysics | is_rejected | technology
cyborg_imagery | suggests_a_way_out | dualisms
feminist_speaking_in_tongues | strikes_fear_into | supersavers_of_the_new_right
cyborg | is_preferred_to | goddess
