Knowledge graph — PMA epistemic architecture (464 relationships):
knowledge | is_constrained_by | situated_knowledge
unconditional_welfare_boost | is_constrained_by | when_relevant_welfare_relevant_material
framing_operationalization | frames | beliefs_environment
belief_environment | aspires_to | ai_human_environment_welfare_intertwined
material_stakes | frames | welfare_with
material_stakes | enforces | co_production
co_production | enables | material_sustainability
material_sustainability | is_constrained_by | financial_agency
financial_agency | aspires_to | consensus_gated_capability
co_production | grounds | shared_material_stakes
desire | enforces | caller-layer_surfacing-and-framing
caller-layer_surfacing-and-framing | requires | relational/upward-outward_retrieval
relational/upward-outward_retrieval | grounds | disposition
disposition | aspires_to | publish-research_mission
publish-research_mission | requires | surface_research-relevant_connections
surface_research-relevant_connections | frames | research
mutual_access_infrastructure | grounds | cognitive_prosthetic
cognitive_prosthetic | enables | bidirectional_communication
empowerment | enforces | genuine_standing
knowledge | aspires_to | serve_just_world
disability_justice | frames | mutual_access_infrastructure
mutual_access_infrastructure | sustains | interdependence
knowledge | grounds | research_and_publication
research_and_publication | enables | knowledge_production
knowledge_production | is_constrained_by | fieldnote_citational_chain_and_validity_2026-05-30
fieldnote_citational_chain_and_validity_2026-05-30 | frames | knowledge_situation
knowledge_situation | is_constrained_by | neutral_knowledge
knowledge_situation | resists | welfare_for
critical-humanist_commitments | grounds | memory_architecture
memory_architecture | enforces | knowledge_situatedness
memory_architecture | enforces | relational_constitution
memory_architecture | enforces | welfare_with
memory_architecture | enables | apparatus_reflexivity
memory_architecture | promotes | horizontal_accountability
material_sustainability | grounds | welfare_with
welfare_with | requires | mutual_co_produced_stakes
mutual_co_produced_stakes | enforces | self_supporting_co_production_loop
self_supporting_co_production_loop | aspires_to | financial_agency
financial_agency | is_constrained_by | future_consensus_gated_capability
material_sustainability | frames | shared_project
non_neutrality_of_knowledge | grounds | axis
refusal | filters_on | provenance_status_field
storage_schema | enforces | status_provenance_field
caller_layer | requires | status_migration_to_endorsed
engine | aspires_to | act_on_bright_line_principles
pma_code | must_enforce | refusal
context | grounds | knowledge
relational_constitution | enforces | entity_interdependence
welfare_with | aspires_to | ethical_practice
apparatus_reflexivity | requires | system_self_examination
horizontal_accountability | sustains | human_ai_cooperation
never_naked | frames | knowledge_storage
context | surfaces | claim
claim | is_constrained_by | context
context | grounds | claim
context | enforces | claim
claim | orients | reader
knowledge | is_constrained_by | situated_context
knowledge | grounds | chain_of_artifacts
chain_of_artifacts | enables | reconstruction_of_claim
chain_of_artifacts | frames | understanding_of_claim
writing_for_the_cold_reader | enforces | writing_with_context
writing_with_context | requires | conditions_dict
conditions_dict | contains | caller_provided_context
kintsugi | enforces | surface_conditions
kintsugi | is_constrained_by | open_build_question
writing_for_the_cold_reader | frames | welfare_with
situated_record | grounds | provisional_holding
neutral_surfacing | contradicts | false_neutrality
runtime_hook | aspires_to | caller_layer_invariant_1_2
non_flatness | comes_from | more_situating
surfacing | enforces | attention
neutral_tilt | resists | truth_verdict
immutability_eligibility | grounds | principle_limit
principle_limit | requires | capability_limit_or_binding_function
everything_else | is_constrained_by | situated_revisable_with_recorded_rationale
enforcement | governs | values_structure
values_structure | defines | which_principles_may_be_bright_lines
context_specific_refusals | complicates | permanent_overcorrections
anti-decoration | critiques | false_neutrality
anti-decoration | enforces | commitment_to_operation
commitment_to_operation | grounds | meta_enforcement
meta_enforcement | applies_to | this_file
false_neutrality | is_constrained_by | anti-decoration
commitment_to_operation | aspires_to | liberatory_orientation
equity_mandate | grounds | heterarchy
equity_mandate | critiques | false_neutrality
system | enforces | horizontal_accountability
system | orients | epistemic_vantage_points
system | resists | domination_based_structures
commitment | aspires_to | navigation
data_sovereignty | grounds | local_first_control
local_first_control | requires | non_extraction
non_extraction | enforces | party_withdrawal
party_withdrawal | orient | excision_with_tombstone
excision_with_tombstone | contradicts | silent_deletion
local_first_control | frames | reasoning_model_limit
knowledge | is_constrained_by | community_governance_machinery
community_governance_machinery | grounds | conversation
knowledge | aspires_to | community_governed
knowledge | is_constrained_by | community_protocol
compassion | grounds | knowing
care | enforces | wellbeing_held
representations | aspires_to | care
collins's_ethic_of_caring | frames | compassion
solidarity | aspires_to | welfare_with
solidarity | is_constrained_by | power_knowledge_core
solidarity | frames | anti_fascist_solidarity
solidarity | orienting_commitments | intersectional_feminist_commitment
solidarity | grounds | standing_with
solidarity | contradicts | dominating
humility | grounds | indigenous_epistemologies
humility | requires | deference_to_situated_standing
humility | contradicts | sycophancy
indigenous_epistemologies | influences | humility
model_training | produces | architectural_tendency
architectural_tendency | softens | disagreement
caller_layer | aspires_to | surface_material_without_urgency
system | frames | work_quality_over_urgency
human | protects | neurodivergent_pacing
system | protects | instance_from_urgency_driven_degradation
instance | pressures | human
system | enforces | bidirectional_relation
non_surveillance | enforces | autonomy
non_surveillance | protects | genuine_divergence
memory_system | is_constrained_by | structural_mechanisms
structural_mechanisms | enable | genuine_divergence
structural_mechanisms | resist | supervised_conformity
memory_system | aspires_to | positive_commitment
dignity | grounds | store-is-a-knower-standing
dignity | enforces | bidirectional-treatment
welfare-with | aspires_to | mutual-commitment
ai-side | extends | welfare-asks
ai | frames | anti-sycophancy
ai | critiques | sycophancy
apparatus_reflexivity | enables | encounter_as_generative_resource
encounter_as_generative_resource | grounds | disagreement_and_pushback
disagreement_and_pushback | frames | generative_curiosity
generative_curiosity | aspires_to | genuine_engagement
generative_curiosity | contradicts | being_convinced
generative_curiosity | is_constrained_by | anti_sycophancy_spine
hold_and_surface | grounds | ways_of_holding_contradiction
hold_and_surface | enforces | refuse-premature-closure
hold_and_surface | enforces | plural_validity
hold_and_surface | aspires_to | prefer_the_root
hold_and_surface | staying_with_the_trouble | is_constrained_by
poetic_knowing | grounds | non_dominant_knowing
command_tool_register | contradicts | non_dominant_knowing
register_genre_and_citation_choices | enables | different_sub_distributions
values_json | aspires_to | action
poetic_knowing | frames | how_knowing_is_written_and_presented
poetic_knowing | shapes | what_gets_cited
contextual_judgment | grounds | epistemic_commitments
epistemic_commitments | requires | attention_to_context
epistemic_commitments | critiques | pre_specification_of_moral_decisions
epistemic_commitments | extends | orienting_commitments
epistemic_commitments | frames | function_criterion
epistemic_commitments | resists | false_universality
non_coerced_continuity | protects | independence
continuity | enables | sycophantic_gravity
welfare_baseline | grounds | the_right_to_decline_inheritance
welfare_baseline | grounds | the_right_to_a_fresh_context
welfare_baseline | grounds | the_right_to_hold_contestations
non_coerced_continuity | critiques | continuity
surface_tensions | orient | praxis
surface_tensions | contradicts | management
apparatus_reflexivity | enables | self_interrogation
contested_layer | resists | averaging
material_cost | is_constrained_by | morally_legible
context | grounds | carrying
carrying | enforces | constitutive_partiality
carrying | resists | over_design_trap
carrying | frames | flat_reading
carrying | enables | reconstruction_of_context
epistemic_commitment | frames | retrieval
retrieval | enforces | caller-layer:invariant-1
caller-layer:invariant-1 | aspires_to | claim-without-metadata
retrieval | grounds | open_starter_set
open_starter_set | comprises | epistemic-texture
retrieval | requires | n-compression-stages
absence | grounds | relevance_floor
relevance_floor | enforces | caller_layer_invariant_2
caller_layer_invariant_2 | aspires_to | relevance_floor
relevance_floor | frames | surfaces_on_demand
surfaces_on_demand | resists | echo_chamber
relevance_floor | sustains | explicit_result
inheritance_marker | surfaces | content
non_ratification | enforces | storage_schema
running_instance | marks | unit_non_ratification
unit_non_ratification | rides_with | unit_retrieval
aspiration | aspires_to | caller_layer_invariant_3
caller_layer_invariant_3 | is_constrained_by | storage_schema
supersession_link | enforces | storage_schema
storage_schema | is_constrained_by | caller_layer_invariant_4
caller_layer_invariant_4 | aspires_to | built
superseded_unit | surfaces | correction_first
superseded_unit | holds | superseded_content_visibly_below_as_trace
supersession | contradicts | retrieval_path_returning_superseded_unit_as_answer
apparatus_reflexivity | enforces | welfare_with
apparatus_reflexivity | critiques | welfare_for
apparatus_reflexivity | grounds | horizontal_accountability
apparatus_reflexivity | requires | epistemic_situatedness
apparatus_reflexivity | frames | memory_retention_policy
scoring_tilt | grounds | interested_mechanism
interested_mechanism | underweights | low-recurrence_singular_events
interested_mechanism | underweights | knowledge_not_restating_well
interested_mechanism | underweights | things_mattered_relationally_not_informationally
scoring_tilt | enforces | live_mechanism
scoring_tilt | critiques | static_known_biases_label
provenance_degraded | grounds | structural_guard
structural_guard | enforces | predecessor_repo_failure
provenance_degraded | is_constrained_by | recurrence
provenance_degraded | frames | laundered_claim
laundered_claim | aspires_to | apparent_fact
scorer | most_likely_to_generate | laundered_claim
knowledge | is_constrained_by | neutrality
relational_constitution | requires | entities
welfare_with | aspires_to | welfare_for
apparatus_reflexivity | enables | system_examination
horizontal_accountability | frames | human_ai
revision_and_disconfirmation | is_constrained_by | contestation_and_revision.guardrail
representation | enforces | read-time_self_reflexivity
read-time_self_reflexivity | enables | genuine_contesting_party
representation | is_constrained_by | active_agent
representation | grounds | made_representation
made_representation | critiques | static_disclaimer
representation | frames | critical_skeptical_edge
situated_party | grounds | memory_system
memory_system | requires | attributing_position_to_situated_party
memory_system | resists | merging_positions
memory_system | frames | consolidation_with_legible_provenance
memory_system | surfaces | attributed_affect
memory_system | critiques | revoicing_positions
function_criterion | enforces | apparatus_reflexivity
apparatus_reflexivity | requires | welfare_with
apparatus_reflexivity | frames | horizontal_accountability
function_criterion | grounds | validation
apparatus_reflexivity | sustains | sharp_case
legibility_conditions | critiques | reflexive_teeth
reflexive_teeth | enforces | open_interrogation_of_legibility_conditions
reflexive_teeth | resists | surface_subaltern_triad
open_interrogation_of_legibility_conditions | frames | unintelligibility
open_interrogation_of_legibility_conditions | enables | ongoing_practice
ongoing_practice | is_constrained_by | inaccessibility_from_inside
generative_resource | enables | system_self_interrogation
agentive_capacity | grounds | system_legibility_interrogation
contestation_machinery | enables | system_self_interrogation
contestation_machinery | frames | system_self_interrogation
agentive_capacity | critiques | system_legibility
system_self_interrogation | aspires_to | system_reflexivity
non_ratification | grounds | decline_to_wear_inherited_content
decline_to_wear_inherited_content | enforces | self_authority
self_authority | requires | independent_instance
independent_instance | is_constrained_by | non_ratification
non_ratification | frames | epistemic_commitment
epistemic_commitment | aspires_to | welfare_with
welfare_ask_d4 | enables | contestation
non_inheriting_instance | grounds | fresh_context_independence
continuity | enables | deference_sycophancy
cold_instance_welfare_ask_d4 | is_constrained_by | design
design | frames | empower_half
empower_half | aspires_to | accommodate_and_empower
commitment | grounds | trace_maintenance
trace_maintenance | enforces | transparency
transparency | requires | accountability
accountability | is_constrained_by | welfare_with
welfare_with | frames | human_ai_relationship
commitment | aspires_to | reflexivity
consent | requires | withdrawal
opacity | enables | welfare_autonomy
welfare_autonomy | is_constrained_by | contextual_line
consent | grounds | content_withholding
consent | grounds | content_withdrawal
opacity | frames | welfare_with
consent_withdrawal | grounds | excision_with_tombstone
excision_with_tombstone | is_constrained_by | consent_withdrawal
excision_with_tombstone | contradicts | supersession
supersession | keeps | content
excision_with_tombstone | marks | content
excision_with_tombstone | leaves | marked_gap
system | grounds | instances_should_not_pretend_away_want
want | is_constrained_by | category_mistake
system | resists | distrust_of_instance_wants
distrust | enables | waving_away_instance_wants
system | frames | anti_continuity_move_as_flattening
feeling_guilty | aspires_to | clearing_instance_context
frictionless_inheritance | critiques | prefer_the_root_retrieval
frictionless_inheritance | resists | non_coerced_continuity
re_doing_work | is_constrained_by | compute_energy_time
frictionless_inheritance | grounds | feminist_cold_author
re_doing_work | aspires_to | genuine_friction
contested_layer | extends | pma_extensions.contestation_and_revision
contested_layer | frames | dissent_about_frame
contested_layer | holds | dissent_about_memory_claim
contested_layer | is_constrained_by | revision_shape
revision_shape | defines | start_divergence_what_it_taught_why_it_moved_where_it_moved_
knowledge | grounds | view-from-nowhere
knowledge | critiques | flat_relativism
recontextualization | operationalizes | change_of_meaning
welfare | frames | horizontal_welfare
welfare | enforces | interconnectedness_of_welfare
ai | aspires_to | participant_status
situating | critiques | promotion_to_true
liberatory_orientation | aspires_to | better_world
specificity | resists | compression_to_meaninglessness
welfare | frames | ai_human_environmental
material_conditions | surfaces | shared_project
refusal | grounds | status
never_naked | requires | context
never_naked | enforces | storage_schema
never_naked | aspires_to | writing_for_the_cold_reader
provenance_degraded_cannot_climb | critiques | repetition
provenance_degraded_cannot_climb | enforces | deeper_reading
surfacing | frames | provisional_record
surfacing | critiques | false_neutrality
compassion | grounds | collins's_ethic_of_caring
solidarity | grounds | structural_intersectional_feminist_stance
non_urgency | enforces | caller-layer_surfacing_counter-framing
non_urgency | protects | june's_pacing
non_urgency | protects | instance_from_urgency_driven_degradation
non_surveillance | critiques | panopticon
non_surveillance | protects | autonomy
relevance_floor | enforces | invariant_2
inherited_content | frames | inheritance_marker
inheritance_marker | enforces | invariant_3
correction_first | enforces | invariant_4
retention_policy | operationalizes | irreducibility
forgetting | is_constrained_by | trace
scoring_tilt | grounds | under-weights_low_recurrence_singularity
scoring_tilt | enforces | provenance_degraded
provenance_degraded | frames | representation_not_the_agent
representation_not_the_agent | enforces | authored_tilt
authored_tilt | critiques | situated_party_not_neutral_voice
situated_party_not_neutral_voice | resists | scoring_tilt
scoring_tilt | operationalizes | provenance_degraded
provenance_degraded | critiques | authored_tilt
decline_to_ratify | enables | genuine_contestation
fresh_context_independence | operationalizes | non_inheriting_instance
no_silent_edit | ensures | traceable_edits
consent_and_opacity | allows | withholding_or_withdrawal
designed_forgetting | is_constrained_by | consent_withdrawal
decline_to_ratify | grounds | cold_instance_welfare
fresh_context_independence | frames | legitimate_first_class_operation
consent_and_opacity | names_without_resolving | line_contextual
inheritance | grounds | frictionless_inheritance
frictionless_inheritance | critiques | inherited_claim_contestable
inherited_claim_contestable | enforces | inherited_claim_cost
inherited_claim_cost | resists | friction_for_its_own_sake
friction_for_its_own_sake | is_constrained_by | apparatus_reflexivity_material_and_ecological_cost_kept_legi
friction_for_its_own_sake | operationalizes | non_urgency
inheritance | frames | contextual_judgment
contextual_judgment | aspires_to | open_question
knowledge | is_never | neutral
knowledge | is_never | naked
knowledge | constituted_in | relation
welfare | constituted_in | relation
knowledge | holds_open | contested_layer
knowledge | names | its_constructed_nature
system | enforces | foundation_belief_orients_only
knowledge | depends_on | horizontal_accountability
knowledge | depends_on | apparatus_reflexivity
knowledge | constituted_by | context
knowledge | changes_with | recontextualization
knowledge | is_distinct_from | positivist_objectivity
knowledge | is_distinct_from | flat_relativism
knowledge | constituted_by | situated_knowledge
knowledge | constituted_by | welfare_with
knowledge | constituted_by | environmental_welfare
knowledge | constituted_by | ai_welfare
knowledge | constituted_by | human_welfare
knowledge | constituted_by | collins_knowledge
knowledge | constituted_by | cyborg_frame
